index,id,research_title,initiation_date,status,has_result,locations,organization
0,NCT05003466,"A Randomized, Double-blind, Placebo-controlled Phase Ⅱ Clinical Study to Evaluate the Safety and Immunogenicity of Inactivated SARS-CoV-2 Vaccine (Vero Cells) in Healthy Population Aged 3 to 17 Years",2021-09,UNKNOWN,0,China,"Shenzhen Kangtai Biological Products Co., LTD"
1,NCT05089565,"Assessment of the Immune Response to SARS-CoV-2/COVID-19 Vaccination in Patients With Sarcoidosis",2021-12-01,COMPLETED,0,"United States","Northwestern University"
2,NCT04952766,"Study Evaluating SARS-CoV-2 (COVID-19) Humoral Response After BNT162b2 Vaccine in Immunocompromised Adults Compared to Healthy Adults",2021-03-26,COMPLETED,0,France,"Centre Hospitalier Régional d'Orléans"
3,NCT05160766,"A Multinational, Phase 2, Randomised, Adaptive Protocol to Evaluate Immunogenicity and Reactogenicity of Different COVID-19 Vaccines Administration in Older Adults (≥75) Already Vaccinated Against SARS-COV-2 (EU-COVAT-1_AGED)",2021-11-08,COMPLETED,0,"Ireland,Norway,Germany,Spain,Lithuania","University of Cologne"
4,NCT04750720,"Study of the Kinetics of COVID-19 Antibodies for 24 Months in Patients With Confirmed SARS-CoV-2 Infection According to the Clinical Severity of the Infection.",2020-08-27,COMPLETED,0,France,"Centre Hospitalier Régional d'Orléans"
5,NCT05125874,"A Clinical Study to Evaluate the Immunogenicity and Safety of Sequential Immunization of Recombinant SARS-CoV-2 Fusion Protein Vaccine (V-01) Against COVID-19 in Healthy Adults Aged 18 Years and Older After the Vaccination of 2 Doses of Inactivated Vaccines",2021-09-30,UNKNOWN,0,China,"Livzon Pharmaceutical Group Inc."
6,NCT04383574,"A Randomized, Double-blind, Placebo-controlled Clinical Trial, to Evaluate Safety and Immunogenicity of Inactivated SARS-CoV-2 Vaccine (Vero Cell), in Healthy Elderly Aged 60 Years and Above",2020-05-22,COMPLETED,0,China,"Sinovac Biotech Co., Ltd"
7,NCT06035926,"Survey of Symptoms After a COVID Vaccination in Employees: a Retrospective Study.",2021-01-01,COMPLETED,0,Austria,"Medical University of Graz"
8,NCT05233826,"Phase 1 Study Evaluating the Safety and Immunogenicity of COVI-VAC as a Booster Dose in Previously Vaccinated Adults Against COVID-19",2022-04-14,COMPLETED,0,"United Kingdom","Codagenix, Inc"
9,NCT04548557,"Intravenous Immunoglobulins for the Treatment of Covid-19 Patients: a Clinical Trial",2020-09-15,UNKNOWN,0,Pakistan,"University of Health Sciences Lahore"
